iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
119,"(23, 9)","(22, 9)",East,"[(24, 9), (22, 9)]","[(23, 9), (17, 10), (10, 13), (32, 8), (4, 11), (3, 10)]","[(17, 10), (32, 8), (10, 13), (3, 10), (4, 11), (24, 9)]",119,30,30,60
120,"(17, 10)","(16, 10)",East,"[(17, 9), (16, 10)]","[(17, 10), (32, 8), (10, 13), (3, 10), (4, 11), (24, 9)]","[(10, 13), (32, 8), (17, 9), (3, 10), (4, 11), (24, 9)]",120,35,25,60
121,"(10, 13)","(10, 12)",North,"[(10, 14), (10, 12)]","[(10, 13), (32, 8), (17, 9), (3, 10), (4, 11), (24, 9)]","[(32, 8), (3, 10), (17, 9), (24, 9), (4, 11), (10, 14)]",121,39,21,60
122,"(32, 8)","(31, 8)",East,"[(33, 8), (31, 8)]","[(32, 8), (3, 10), (17, 9), (24, 9), (4, 11), (10, 14)]","[(3, 10), (4, 11), (17, 9), (24, 9), (10, 14), (33, 8)]",122,22,38,60
123,"(3, 10)","(4, 10)",West,"[(4, 10)]","[(3, 10), (4, 11), (17, 9), (24, 9), (10, 14), (33, 8)]","[(17, 9), (4, 11), (33, 8), (24, 9), (10, 14)]",123,49,11,60
124,"(17, 9)","(17, 10)",South,"[(17, 10), (17, 8)]","[(17, 9), (4, 11), (33, 8), (24, 9), (10, 14)]","[(17, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",124,36,24,60
125,"(17, 8)","(17, 9)",South,"[(17, 9), (16, 8)]","[(17, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(16, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",125,37,23,60
126,"(16, 8)","(17, 8)",West,"[(17, 8), (15, 8)]","[(16, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(15, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",126,38,22,60
127,"(15, 8)","(16, 8)",West,"[(16, 8), (14, 8)]","[(15, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(14, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",127,39,21,60
128,"(14, 8)","(15, 8)",West,"[(15, 8), (13, 8)]","[(14, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(13, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",128,40,20,60
129,"(13, 8)","(14, 8)",West,"[(14, 8), (12, 8)]","[(13, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(12, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",129,41,19,60
130,"(12, 8)","(13, 8)",West,"[(13, 8), (11, 8)]","[(12, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(11, 8), (4, 11), (33, 8), (10, 14), (24, 9)]",130,42,18,60
131,"(11, 8)","(12, 8)",West,"[(11, 7), (12, 8)]","[(11, 8), (4, 11), (33, 8), (10, 14), (24, 9)]","[(11, 7), (4, 11), (33, 8), (10, 14), (24, 9)]",131,43,17,60
132,"(11, 7)","(11, 8)",South,"[(11, 8), (11, 6)]","[(11, 7), (4, 11), (33, 8), (10, 14), (24, 9)]","[(11, 6), (4, 11), (33, 8), (10, 14), (24, 9)]",132,44,16,60
133,"(11, 6)","(11, 7)",South,"[(11, 7), (10, 6)]","[(11, 6), (4, 11), (33, 8), (10, 14), (24, 9)]","[(10, 6), (4, 11), (33, 8), (10, 14), (24, 9)]",133,45,15,60
134,"(10, 6)","(11, 6)",West,"[(11, 6), (9, 6)]","[(10, 6), (4, 11), (33, 8), (10, 14), (24, 9)]","[(9, 6), (4, 11), (33, 8), (10, 14), (24, 9)]",134,46,14,60
135,"(9, 6)","(10, 6)",West,"[(10, 6), (8, 6)]","[(9, 6), (4, 11), (33, 8), (10, 14), (24, 9)]","[(8, 6), (4, 11), (33, 8), (10, 14), (24, 9)]",135,47,13,60
136,"(8, 6)","(9, 6)",West,"[(9, 6), (7, 6)]","[(8, 6), (4, 11), (33, 8), (10, 14), (24, 9)]","[(7, 6), (4, 11), (33, 8), (10, 14), (24, 9)]",136,48,12,60
